ID,Date,HS time,L,P,DL,DP,NOTE,,,
A-7-3.3,7/21/17,15,aaaaaaaaaaa,aaaaaaaaaaa,ssssssassssa,not scored- looked like no one pumping ,,,,
A-7-3.1,7/21/17,15,sssaaaaa,aaaaaaaa,ssssssassssa,aaaaaaaa,,,,
PS7244,7/22/17,15,aaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaa,asaaaaaaaaaaaaa,aaaaaaaaaaa,,,,
A-10-3a,7/22/17,15,aaaaaaaaaaaaaaaaas,aaaaaaaaaaaa,aaaaaaaaaaaaaaaaae,aaaaaaaaae,head movement,,,
A-10-2a,7/22/17,15,aaaaaaaaaaaa,aaaaaaaaaaaa,aaaaaaaaaaaa3,aaaaaa6,,,,
A-10-3b,7/22/17,15,aaaaaaaaaaaaaaaaaaaaa,aaaaaaaaaaaaa,aaaaaaasaaaaaasa,aaaasaaaa,,,,
A-35-2a,7/22/17,15,aaaaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaa,ssaaasasaaaassaaaaa,aaaaaaaaaaaa,,,,
A-35-2b,7/22/17,15,aaaaaaaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaasaaaaaaaaaat,aaaaaaaaa,,,,
A-35-2c,7/22/17,15,aaaaaaaaaaaaaaa,aaaaaaaaaaa,aaaaaaaaaaaaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaa,,,,
A-34-2b,7/22/17,15,ssaaaaaaaaaasaaas,aaaaaaaaaaaa,ssssssaaasaasaa,aaaaaaaaaaaa,,,,
A-34-1a,7/22/17,15,asaaaaas,aaaaaa,sssasas,aaaa,,,,
A-34-1c,7/22/17,15,asaaaaaaas,aaaaaae,assasaasaaasaa,aaaaaaaaa,,,,
PS7244,7/22/17,15,aaaaaaaaaa,aaaaaaa,aasaaaasaaaa,aaaaaaaaaa,,,,
A-13-3b,7/22/17,15,aaaaaaaaaaaa,aaaaaaasaaaa,aaaasaaaaaaaaaaaa,ssassasassas,,,,
A-13-3a,7/22/17,15,asasasaaaa,ssaasaaaaassssssss,saaassssassasss,,,,,
A-13-3c,7/22/17,15,aaaaaaaaaa,aasaaasasss,AAAAAAAAAA,ASSASSSA,,,,
A-26-3a,7/22/17,15,aaaaaaaaaaaaaa2,aaaaaaaaaaa,aaaaaaaaaa,aaaaaaaaaaa,,,,
A-26-3c,7/22/17,15,aaaaaaaaaaaaaaa,aaaaaaaaaaaa,aaaaaaaaaaa,aaaaa,,,,
