,index,ID,Date,HS time,phenotype,number,freq,total,suppressors
0,0,A-7-3.3,7/21/17,15,L,aaaaaaaaaaa,0,11,0
1,1,A-7-3.1,7/21/17,15,L,sssaaaaa,0.375,8,3
2,2,PS7244,7/22/17,15,L,aaaaaaaaaaaaaaaaa,0,17,0
3,3,A-10-3a,7/22/17,15,L,aaaaaaaaaaaaaaaaas,0.055555556,18,1
4,4,A-10-2a,7/22/17,15,L,aaaaaaaaaaaa,0,12,0
5,5,A-10-3b,7/22/17,15,L,aaaaaaaaaaaaaaaaaaaaa,0,21,0
6,6,A-35-2a,7/22/17,15,L,aaaaaaaaaaaaaaaaaaa,0,19,0
7,7,A-35-2b,7/22/17,15,L,aaaaaaaaaaaaaaa,0,15,0
8,8,A-35-2c,7/22/17,15,L,aaaaaaaaaaaaaaa,0,15,0
9,9,A-34-2b,7/22/17,15,L,ssaaaaaaaaaasaaas,0.235294118,17,4
10,10,A-34-1a,7/22/17,15,L,asaaaaas,0.25,8,2
11,11,A-34-1c,7/22/17,15,L,asaaaaaaas,0.2,10,2
12,12,PS7244,7/22/17,15,L,aaaaaaaaaa,0,10,0
13,13,A-13-3b,7/22/17,15,L,aaaaaaaaaaaa,0,12,0
14,14,A-13-3a,7/22/17,15,L,asasasaaaa,0.3,10,3
15,15,A-13-3c,7/22/17,15,L,aaaaaaaaaa,0,10,0
16,16,A-26-3a,7/22/17,15,L,aaaaaaaaaaaaaa2,0,14,0
17,17,A-26-3c,7/22/17,15,L,aaaaaaaaaaaaaaa,0,15,0
18,18,A-26-3b,7/22/17,15,L,aaaaaaaaaaaaaaaaaaaaa,0,21,0
19,19,A-23-2b,7/22/17,15,L,aaaaasaa,0.125,8,1
20,20,A-23-2c,7/22/17,15,L,aaaaaaaaaaaaaa1,0,14,0
21,21,A-23-2a,7/22/17,15,L,aaaaa,0,5,0
22,22,PS7244,7/22/17,30,L,aaaaaaaasaaa,0.083333333,12,1
23,23,A32-1b,7/22/17,30,L,aaaaaaaaaaaasaaaa,0.058823529,17,1
24,24,A-32-1a,7/22/17,30,L,aaaaaaaaassaa,0.153846154,13,2
25,25,A-32-1c,7/22/17,30,L,aaaaaaaaaaaaaaaaaaaaa,0,21,0
26,26,PS7244,7/22/17,15,L,aaaaaaaaaaaaa,0,13,0
27,27,PS5961,7/22/17,15,L,ssaaasa,0.428571429,7,3
28,28,A-6-2-1,7/22/17,15,L,sssassaaassasss,0.666666667,15,10
29,29,A-24-2b,7/22/17,15,L,aaaaaaaaaaaaa,0,13,0
30,30,A-24-2a,7/22/17,15,L,aaaaaaaaaaaaasa,0.066666667,15,1
31,31,A-6-1a,7/22/17,15,L,aaaaasasssasassa,0.4375,16,7
32,32,A-6-2b,7/22/17,15,L,aaaaaaaaaaaaaaaaaaa,0,19,0
33,33,A-6-2a,7/22/17,15,L,aaaaaaaaaaassa,0.142857143,14,2
34,34,PS7244,7/22/17,30,L,aaaaaaaaa,0,9,0
35,35,A-14-2-2,7/22/17,30,L,aaaaaaaaaaaaaaa,0,15,0
36,36,A-14-3-3,7/22/17,30,L,aaaaaaaaaaaaa,0,13,0
37,37,A-14-3-2,7/22/17,30,L,AAAAAAAAAAA,0,11,0
38,38,A-3-2a,7/22/17,30,L,aaaaaaaa,0,8,0
39,39,A-3-2c,7/22/17,30,L,aaaaaa,0,6,0
40,40,PS7244,7/22/17,15,L,aaaaaaa,0,7,0
41,41,A-23-3-3,7/22/17,15,L,aaaaaa,0,6,0
42,42,A-23-2-3,7/22/17,15,L,aaaaa,0,5,0
43,43,A-24-2-2,7/22/17,15,L,saaaaaasasss,0.416666667,12,5
44,44,A-19-3-3,7/22/17,15,L,aaaaaaaaaaa,0,11,0
45,45,A-19-3-1,7/22/17,15,L,aaaaaaaaaaaaaa,0,14,0
46,46,A-9-3-2,7/22/17,15,L,aaaaaaaaaaaaaaaaa,0,17,0
47,47,A-3-1-1,7/22/17,15,L,aaaaaa,0,6,0
48,48,A-10-1-1,7/23/17,15,L,aaaaaaaaaaaaaaaaa,0,17,0
49,49,A-35-2b,7/23/17,15,L,saasss,0.666666667,6,4
50,50,A-1-2-2,7/23/17,15,L,saaaaaaaaasaa,0.153846154,13,2
51,51,A-5-3-1,7/23/17,15,L,aaaaaaa,0,7,0
52,52,A-9-1-3,7/23/17,15,L,saaaaaaa4,0.111111111,8,1
53,53,A-12-1-2,7/23/17,15,L,aaaaaaaaaaaaaaaaaaaaaa,0,22,0
54,54,A-12-1-1,7/23/17,15,L,aaaaaaaaaaaaaaaaaaa,0,19,0
55,55,A-23-2-1,7/23/17,15,L,aaaaaaa,0,7,0
56,56,PS7244,7/23/17,30,L,aaaaaaa,0,7,0
57,57,A-14-2-3,7/23/17,30,L,aaaaaaaaaa,0,10,0
58,58,PS7244,7/23/17,15,L,aaaaaaaa,0,8,0
59,59,PS7244/PS5970,7/23/17,15,L,aaaaaaaaaaaaaaaa,0,16,0
60,60,PS7244/+,7/23/17,15,L,aaaaaaaaaaaa,0,12,0
61,61,A9-1-1-1,7/23/17,15,L,ssaaaaaaaaaaaaaa,0.125,16,2
62,62,PS5970/A9-1-1-1,7/23/17,15,L,aaaaaaaaaa3,0,10,0
63,63,PS5970/A9-1-1-1 (M),7/23/17,15,L,ssasssas,0.75,8,6
64,64,PS5970 (M),7/23/17,15,L,ssssssss,1,8,8
65,65,PS5970,7/23/17,15,L,aaaaaaaaaaa,0,11,0
66,66,A-1-2-1,7/23/17,15,L,saaaaaaa,0.125,8,1
67,67,A-35-2c,7/23/17,15,L,ssssssssssss,1,12,12
68,68,A-30-3c,7/23/17,15,L,aaaaaaaaaaaaaaa,0,15,0
69,69,PS7244,7/24/17,15,L,aaaaaaaaaaaaa,0,13,0
70,70,PS5869,7/24/17,15,L,sssaasaaassssaa,0.533333333,15,8
71,71,A-10-2c,7/24/17,15,L,aaaaaaaa,0,8,0
72,72,A-30-3c,7/24/17,15,L,aaaaaaaaa,0,9,0
73,73,A-1-3A,7/24/17,15,L,saaaaasaa,0.222222222,9,2
74,74,A-17-1-2,7/24/17,15,L,aaaaaaaaa,0,9,0
75,75,A-17-1-3,7/24/17,15,L,asaaaaaas,0.222222222,9,2
76,76,A-30-3a,7/24/17,15,L,aaaaaaaaaaa,0,11,0
77,77,A-7-3-2,7/24/17,15,L,ssaass,0.666666667,6,4
78,78,A-7-2-1,7/24/17,30,L,aaaaaaaaaa,0,10,0
79,79,A-31-3c,7/24/17,30,L,aaaaaa,0,6,0
80,80,A-31-3a,7/24/17,30,L,aaaaa,0,5,0
81,81,A-7-1a,7/24/17,30,L,aaaaa,0,5,0
82,82,A-31-3b,7/24/17,30,L,aaaaaaaaaaa,0,11,0
83,83,PS7244,7/24/17,15,L,aaaaaaa,0,7,0
84,84,A-15-3c,7/24/17,15,L,aaaaaaa,0,7,0
85,85,A-15-3b,7/24/17,15,L,aaaaaaa,0,7,0
86,86,A-21-2,7/24/17,15,L,aaaaaaa,0,7,0
87,87,PS7244,7/29/17,30,L,aaaaaaaaaaaaaaaaa,0,17,0
88,88,A-3-2a/PS5689 (M),7/29/17,30,L,ssssssss,1,8,8
89,89,A-3-2a/PS5689 ,7/29/17,30,L,aaaaaaaaa,0,9,0
90,90,A-3-2a,7/29/17,30,L,saasasaaaaaaaaaa,0.1875,16,3
91,91,A-3-2a/PS5970,7/29/17,30,L,aaaaaaaaaaaaaaaaa,0,17,0
92,92,A-3-2a/PS5970 (M),7/29/17,30,L,ssssss,1,6,6
93,93,A-3-2a/PS56961,7/29/17,30,L,aaaaaaaaaaa,0,11,0
94,94,A-3-2a/PS56961 (M),7/29/17,30,L,ssssssss,1,8,8
95,95,PS7244/PS5961,7/29/17,30,L,aaaaaaaaa,0,9,0
96,96,PS7244/PS5689,7/29/17,30,L,aaaaas,0.166666667,6,1
97,97,PS7244/PS5689 (M),7/29/17,30,L,s,1,1,1
98,98,PS7244,7/29/17,15,L,asaaaaaaaaas,0.166666667,12,2
99,99,PS7244/PS5961 (M),7/29/17,15,L,aaaaaaaaa,0,9,0
100,100,PS7244/PS5961,7/29/17,15,L,sssss,1,5,5
101,101,PS7244/PS5689,7/29/17,15,L,aaaaa,0,5,0
102,102,PS7244/PS5689 (M),7/29/17,15,L,assssasa,0.625,8,5
103,103,A-9-1-1,7/29/17,15,L,aaaaaaaaaaasas,0.142857143,14,2
104,104,A-9-1-1/PS5689,7/29/17,15,L,aaaaaaaaaa,0,10,0
105,105,A-9-1-1/PS5689 (M),7/29/17,15,L,ssaass,0.666666667,6,4
106,106,A-12-1-1,7/29/17,15,L,aaaaaaaaaaaaaaaaaaa,0,19,0
107,107,A-12-1-1/PS5970,7/29/17,15,L,asaaaaaasaaa,0.166666667,12,2
108,108,A-12-1-1/PS597-0 (M),7/29/17,15,L,sssssssa,0.875,8,7
109,109,A-12-1-1/PS5689,7/29/17,15,L,aaaaaasaa,0.111111111,9,1
110,110,A-12-1-1/PS5689 (M),7/29/17,15,L,ssssss,1,6,6
111,111,A-12-1-1/PS5961,7/29/17,15,L,aaaaaaa,0,7,0
112,112,A-12-1-1/PS5961 (M),7/29/17,15,L,sssssssss,1,9,9
113,113,A-6-2-1,7/29/17,15,L,asssasssaaasss,0.642857143,14,9
114,114,A-6-2-1/PS5970,7/29/17,15,L,aaaaaaa,0,7,0
115,115,A-6-2-1/PS5970 (M),7/29/17,15,L,ssassss,0.857142857,7,6
116,116,A-6-2-1/PS5689,7/29/17,15,L,aasaaaaa,0.125,8,1
117,117,A-6-2-1/PS5689 (M),7/29/17,15,L,sssssssss,1,9,9
118,118,A-6-2-1/PS5961,7/29/17,15,L,saasas3,0.428571429,6,3
119,119,A-6-2-1/PS5961 (M),7/29/17,15,L,ssssas,0.833333333,6,5
120,120,PS7244,7/29/17,15,L,aaaaaaaaaaa,0,11,0
121,121,A-7-3-3,7/29/17,15,L,aaaaaasaa,0.111111111,9,1
122,122,A-7-3-3/PS5970,7/29/17,15,L,aaaaaaa,0,7,0
123,123,A-7-3-3/PS5970 (M),7/29/17,15,L,sssssss,1,7,7
124,124,A-7-3-3/PS5961,7/29/17,15,L,aaaaaaaaa,0,9,0
125,125,A-7-3-3/PS5961 (M),7/29/17,15,L,saasssasss,0.7,10,7
126,126,A-7-3-3/PS5689,7/29/17,15,L,aaaaaaa,0,7,0
127,127,A-7-3-3/PS5689 (M),7/29/17,15,L,aaassaa,0.285714286,7,2
128,128,PS7244,7/29/17,15,L,aaaaaasaaaaaa,0.076923077,13,1
129,129,A-13-3c,7/29/17,15,L,aaaaaaaaaaaaa,0,13,0
