name,count,total
wt,48,100
wt,53,100
wt,54,100
wt,44,100
wt,51,100
wt,58,100
wt,58,100
wt,51,100
wt,53,100
wt,50,100
wt,49,100
wt,54,100
wt,51,100
wt,54,100
wt,57,100
wt,44,100
wt,52,100
wt,59,100
wt,46,100
wt,52,100
wt,53,100
wt,45,100
wt,52,100
wt,49,100
wt,58,100
wt,63,100
wt,53,100
wt,50,100
wt,43,100
wt,50,100
wt,56,100
wt,52,100
wt,61,100
wt,41,100
wt,54,100
wt,56,100
wt,42,100
wt,50,100
wt,49,100
wt,61,100
wt,57,100
wt,59,100
wt,53,100
wt,51,100
wt,53,100
wt,51,100
wt,45,100
wt,57,100
wt,46,100
wt,41,100
mt,72,100
mt,51,100
mt,60,100
mt,53,100
mt,62,100
mt,61,100
mt,56,100
mt,63,100
mt,57,100
mt,61,100
mt,62,100
mt,59,100
mt,53,100
mt,63,100
mt,57,100
mt,62,100
mt,58,100
mt,64,100
mt,53,100
mt,57,100
mt,58,100
mt,63,100
mt,55,100
mt,58,100
mt,56,100
mt,65,100
mt,60,100
mt,55,100
mt,51,100
mt,58,100
mt,51,100
mt,57,100
mt,52,100
mt,61,100
mt,58,100
mt,61,100
mt,59,100
mt,54,100
mt,53,100
mt,57,100
mt,52,100
mt,57,100
mt,57,100
mt,62,100
mt,52,100
mt,56,100
mt,65,100
mt,59,100
mt,60,100
mt,57,100
