type,n,p
same,100,0.46
same,100,0.54
same,100,0.5
same,100,0.52
same,100,0.48
same,100,0.64
same,100,0.46
same,100,0.49
same,100,0.49
same,100,0.61
same,100,0.54
same,100,0.61
same,100,0.49
same,100,0.49
same,100,0.44
same,100,0.38
same,100,0.46
same,100,0.5
same,100,0.42
same,100,0.43
same,100,0.51
same,100,0.56
same,100,0.42
same,100,0.48
same,100,0.4
same,100,0.47
same,100,0.58
same,100,0.5
same,100,0.45
same,100,0.51
same,100,0.53
same,100,0.53
same,100,0.4
same,100,0.43
same,100,0.52
same,100,0.48
same,100,0.57
same,100,0.51
same,100,0.57
same,100,0.49
same,100,0.5
same,100,0.57
same,100,0.51
same,100,0.47
same,100,0.35
same,100,0.53
same,100,0.53
same,100,0.54
same,100,0.44
same,100,0.53
same,1000,0.5
same,1000,0.529
same,1000,0.504
same,1000,0.498
same,1000,0.497
same,1000,0.511
same,1000,0.48
same,1000,0.479
same,1000,0.487
same,1000,0.519
same,1000,0.493
same,1000,0.52
same,1000,0.486
same,1000,0.441
same,1000,0.485
same,1000,0.493
same,1000,0.503
same,1000,0.502
same,1000,0.502
same,1000,0.495
same,1000,0.487
same,1000,0.47
same,1000,0.491
same,1000,0.486
same,1000,0.465
same,1000,0.48
same,1000,0.468
same,1000,0.487
same,1000,0.497
same,1000,0.516
same,1000,0.494
same,1000,0.485
same,1000,0.479
same,1000,0.492
same,1000,0.466
same,1000,0.485
same,1000,0.522
same,1000,0.53
same,1000,0.501
same,1000,0.486
same,1000,0.495
same,1000,0.488
same,1000,0.503
same,1000,0.481
same,1000,0.509
same,1000,0.499
same,1000,0.496
same,1000,0.514
same,1000,0.498
same,1000,0.498
same,10000,0.5042
same,10000,0.5058
same,10000,0.5057
same,10000,0.4999
same,10000,0.5029
same,10000,0.4952
same,10000,0.4979
same,10000,0.5048
same,10000,0.4947
same,10000,0.5015
same,10000,0.499
same,10000,0.4856
same,10000,0.4923
same,10000,0.5029
same,10000,0.5027
same,10000,0.4958
same,10000,0.5086
same,10000,0.4946
same,10000,0.4891
same,10000,0.5043
same,10000,0.5082
same,10000,0.4985
same,10000,0.5044
same,10000,0.4995
same,10000,0.5054
same,10000,0.505
same,10000,0.4936
same,10000,0.5073
same,10000,0.4998
same,10000,0.5041
same,10000,0.4916
same,10000,0.5008
same,10000,0.5013
same,10000,0.508
same,10000,0.5044
same,10000,0.493
same,10000,0.5062
same,10000,0.5011
same,10000,0.4938
same,10000,0.5025
same,10000,0.5067
same,10000,0.5168
same,10000,0.5071
same,10000,0.5094
same,10000,0.5044
same,10000,0.5042
same,10000,0.5007
same,10000,0.5004
same,10000,0.5017
same,10000,0.4869
same,100000,0.50188
same,100000,0.50025
same,100000,0.49936
same,100000,0.50005
same,100000,0.50175
same,100000,0.49821
same,100000,0.49972
same,100000,0.50053
same,100000,0.50284
same,100000,0.49934
same,100000,0.50244
same,100000,0.5026
same,100000,0.5026
same,100000,0.50152
same,100000,0.49989
same,100000,0.5026
same,100000,0.49974
same,100000,0.49992
same,100000,0.50242
same,100000,0.49995
same,100000,0.49856
same,100000,0.49994
same,100000,0.49897
same,100000,0.49996
same,100000,0.50036
same,100000,0.49839
same,100000,0.49854
same,100000,0.50174
same,100000,0.49923
same,100000,0.49966
same,100000,0.50265
same,100000,0.50066
same,100000,0.5013
same,100000,0.49998
same,100000,0.50349
same,100000,0.50128
same,100000,0.5027
same,100000,0.50212
same,100000,0.50132
same,100000,0.49914
same,100000,0.50041
same,100000,0.50238
same,100000,0.49994
same,100000,0.50007
same,100000,0.50239
same,100000,0.49997
same,100000,0.49859
same,100000,0.50038
same,100000,0.49987
same,100000,0.50107
stat,100,0.4
stat,100,0.31
stat,100,0.35
stat,100,0.3
stat,100,0.39
stat,100,0.26
stat,100,0.34
stat,100,0.31
stat,100,0.37
stat,100,0.35
stat,100,0.36
stat,100,0.36
stat,100,0.41
stat,100,0.35
stat,100,0.35
stat,100,0.3
stat,100,0.28
stat,100,0.3
stat,100,0.34
stat,100,0.32
stat,100,0.29
stat,100,0.32
stat,100,0.34
stat,100,0.27
stat,100,0.33
stat,100,0.42
stat,100,0.31
stat,100,0.41
stat,100,0.34
stat,100,0.41
stat,100,0.31
stat,100,0.3
stat,100,0.31
stat,100,0.41
stat,100,0.41
stat,100,0.34
stat,100,0.19
stat,100,0.27
stat,100,0.33
stat,100,0.33
stat,100,0.25
stat,100,0.33
stat,100,0.45
stat,100,0.42
stat,100,0.26
stat,100,0.31
stat,100,0.32
stat,100,0.35
stat,100,0.36
stat,100,0.33
stat,1000,0.346
stat,1000,0.349
stat,1000,0.332
stat,1000,0.323
stat,1000,0.357
stat,1000,0.351
stat,1000,0.358
stat,1000,0.34
stat,1000,0.338
stat,1000,0.37
stat,1000,0.339
stat,1000,0.345
stat,1000,0.361
stat,1000,0.355
stat,1000,0.34
stat,1000,0.343
stat,1000,0.351
stat,1000,0.318
stat,1000,0.366
stat,1000,0.323
stat,1000,0.333
stat,1000,0.354
stat,1000,0.327
stat,1000,0.371
stat,1000,0.337
stat,1000,0.362
stat,1000,0.338
stat,1000,0.357
stat,1000,0.327
stat,1000,0.352
stat,1000,0.341
stat,1000,0.325
stat,1000,0.355
stat,1000,0.321
stat,1000,0.357
stat,1000,0.351
stat,1000,0.345
stat,1000,0.331
stat,1000,0.348
stat,1000,0.358
stat,1000,0.343
stat,1000,0.34
stat,1000,0.335
stat,1000,0.329
stat,1000,0.343
stat,1000,0.328
stat,1000,0.348
stat,1000,0.353
stat,1000,0.37
stat,1000,0.348
stat,10000,0.3413
stat,10000,0.3415
stat,10000,0.3336
stat,10000,0.3457
stat,10000,0.3447
stat,10000,0.3342
stat,10000,0.3365
stat,10000,0.3413
stat,10000,0.3469
stat,10000,0.3453
stat,10000,0.3516
stat,10000,0.3573
stat,10000,0.3407
stat,10000,0.3505
stat,10000,0.3424
stat,10000,0.3347
stat,10000,0.3398
stat,10000,0.3455
stat,10000,0.3402
stat,10000,0.3423
stat,10000,0.3378
stat,10000,0.3463
stat,10000,0.3404
stat,10000,0.3448
stat,10000,0.3388
stat,10000,0.349
stat,10000,0.3502
stat,10000,0.3448
stat,10000,0.3453
stat,10000,0.3379
stat,10000,0.3394
stat,10000,0.3415
stat,10000,0.3402
stat,10000,0.3465
stat,10000,0.3476
stat,10000,0.3417
stat,10000,0.3509
stat,10000,0.3382
stat,10000,0.3408
stat,10000,0.3507
stat,10000,0.3478
stat,10000,0.3437
stat,10000,0.3319
stat,10000,0.3411
stat,10000,0.3491
stat,10000,0.3451
stat,10000,0.3397
stat,10000,0.3457
stat,10000,0.3405
stat,10000,0.3443
stat,100000,0.34332
stat,100000,0.34206
stat,100000,0.3438
stat,100000,0.3438
stat,100000,0.34187
stat,100000,0.34467
stat,100000,0.34334
stat,100000,0.34508
stat,100000,0.34335
stat,100000,0.34129
stat,100000,0.34022
stat,100000,0.34157
stat,100000,0.34458
stat,100000,0.34269
stat,100000,0.34027
stat,100000,0.34289
stat,100000,0.34471
stat,100000,0.34302
stat,100000,0.34258
stat,100000,0.34322
stat,100000,0.34526
stat,100000,0.34397
stat,100000,0.34443
stat,100000,0.34254
stat,100000,0.34208
stat,100000,0.34153
stat,100000,0.34116
stat,100000,0.34399
stat,100000,0.34548
stat,100000,0.34067
stat,100000,0.34475
stat,100000,0.34342
stat,100000,0.34251
stat,100000,0.34482
stat,100000,0.34391
stat,100000,0.34344
stat,100000,0.34391
stat,100000,0.34477
stat,100000,0.34315
stat,100000,0.34572
stat,100000,0.34329
stat,100000,0.34335
stat,100000,0.34418
stat,100000,0.34419
stat,100000,0.34326
stat,100000,0.34515
stat,100000,0.34505
stat,100000,0.34599
stat,100000,0.34409
stat,100000,0.34309
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
diff,100,0.01
