dist,p,t,p_t_2,p_t_1
0.0,1e-05,71.46472317178514,3.268356337187317e-51,1.6341781685936584e-51
0.0,1e-05,71.46472317178514,3.268356337187317e-51,1.6341781685936584e-51
0.01,1e-05,62.95151849908725,1.9838799617598088e-51,9.919399808799044e-52
0.01,1e-05,62.95151849908725,1.9838799617598088e-51,9.919399808799044e-52
0.02,1e-05,68.60683803444678,3.743763718259405e-56,1.8718818591297025e-56
0.02,1e-05,68.60683803444678,3.743763718259405e-56,1.8718818591297025e-56
0.03,1e-05,60.3951640862629,5.152068733501552e-58,2.576034366750776e-58
0.03,1e-05,60.3951640862629,5.152068733501552e-58,2.576034366750776e-58
0.04,1e-05,74.65546662660347,3.150684770318574e-65,1.575342385159287e-65
0.04,1e-05,74.65546662660347,3.150684770318574e-65,1.575342385159287e-65
0.05,1e-05,59.339503445110275,1.5151457869481656e-56,7.575728934740828e-57
0.05,1e-05,59.339503445110275,1.5151457869481656e-56,7.575728934740828e-57
0.06,1e-05,61.0690025564589,3.7546809137548103e-67,1.8773404568774052e-67
0.06,1e-05,61.0690025564589,3.7546809137548103e-67,1.8773404568774052e-67
0.07,1e-05,58.068254233978024,5.511727753746189e-62,2.7558638768730947e-62
0.07,1e-05,58.068254233978024,5.511727753746189e-62,2.7558638768730947e-62
0.08,1e-05,48.01002740413214,1.2123611026014652e-58,6.061805513007326e-59
0.08,1e-05,48.01002740413214,1.2123611026014652e-58,6.061805513007326e-59
0.09,1e-05,51.84234114970044,2.249597663884487e-64,1.1247988319422434e-64
0.09,1e-05,51.84234114970044,2.249597663884487e-64,1.1247988319422434e-64
0.1,1e-05,53.51547455759866,2.827187906748068e-67,1.413593953374034e-67
0.1,1e-05,53.51547455759866,2.827187906748068e-67,1.413593953374034e-67
0.11,1e-05,40.01351728477752,2.0321327461487333e-54,1.0160663730743666e-54
0.11,1e-05,40.01351728477752,2.0321327461487333e-54,1.0160663730743666e-54
0.12,1e-05,46.83142683489306,7.575135722753349e-58,3.7875678613766746e-58
0.12,1e-05,46.83142683489306,7.575135722753349e-58,3.7875678613766746e-58
0.13,1e-05,44.989493607178844,9.820145745500482e-60,4.910072872750241e-60
0.13,1e-05,44.989493607178844,9.820145745500482e-60,4.910072872750241e-60
0.14,1e-05,38.01578013318299,2.2137027611829596e-58,1.1068513805914798e-58
0.14,1e-05,38.01578013318299,2.2137027611829596e-58,1.1068513805914798e-58
0.15,1e-05,41.870290950569874,3.3068213439796918e-56,1.6534106719898459e-56
0.15,1e-05,41.870290950569874,3.3068213439796918e-56,1.6534106719898459e-56
0.16,1e-05,36.2094490383332,3.541005010218709e-53,1.7705025051093545e-53
0.16,1e-05,36.2094490383332,3.541005010218709e-53,1.7705025051093545e-53
0.17,1e-05,38.707179334232144,1.0810532592094936e-58,5.405266296047468e-59
0.17,1e-05,38.707179334232144,1.0810532592094936e-58,5.405266296047468e-59
0.18,1e-05,38.3439447493746,1.6633792322556803e-56,8.316896161278402e-57
0.18,1e-05,38.3439447493746,1.6633792322556803e-56,8.316896161278402e-57
0.19,1e-05,32.82475834454881,6.330879979751004e-48,3.165439989875502e-48
0.19,1e-05,32.82475834454881,6.330879979751004e-48,3.165439989875502e-48
0.2,1e-05,29.232201645977614,6.5060514949853095e-49,3.2530257474926548e-49
0.2,1e-05,29.232201645977614,6.5060514949853095e-49,3.2530257474926548e-49
0.21,1e-05,32.30822597247733,9.501043207132315e-54,4.750521603566158e-54
0.21,1e-05,32.30822597247733,9.501043207132315e-54,4.750521603566158e-54
0.22,1e-05,31.10080235658441,9.692722499544641e-51,4.8463612497723204e-51
0.22,1e-05,31.10080235658441,9.692722499544641e-51,4.8463612497723204e-51
0.23,1e-05,24.111433094887293,9.250159455762992e-41,4.625079727881496e-41
0.23,1e-05,24.111433094887293,9.250159455762992e-41,4.625079727881496e-41
0.24,1e-05,27.436648278928704,9.613780186627363e-48,4.8068900933136813e-48
0.24,1e-05,27.436648278928704,9.613780186627363e-48,4.8068900933136813e-48
0.25,1e-05,27.438804928077936,1.7005734382449941e-47,8.502867191224971e-48
0.25,1e-05,27.438804928077936,1.7005734382449941e-47,8.502867191224971e-48
0.26,1e-05,26.19499107866338,5.6326922501774e-44,2.8163461250887e-44
0.26,1e-05,26.19499107866338,5.6326922501774e-44,2.8163461250887e-44
0.27,1e-05,23.99525537805043,1.046581856761977e-42,5.232909283809885e-43
0.27,1e-05,23.99525537805043,1.046581856761977e-42,5.232909283809885e-43
0.28,1e-05,24.9209674422027,3.928793397712612e-44,1.964396698856306e-44
0.28,1e-05,24.9209674422027,3.928793397712612e-44,1.964396698856306e-44
0.29,1e-05,24.047114628850874,1.0165726530218744e-42,5.082863265109372e-43
0.29,1e-05,24.047114628850874,1.0165726530218744e-42,5.082863265109372e-43
0.3,1e-05,20.90636187781242,7.477543075255887e-37,3.7387715376279436e-37
0.3,1e-05,20.90636187781242,7.477543075255887e-37,3.7387715376279436e-37
0.31,1e-05,21.469944993428065,7.863368441156822e-39,3.931684220578411e-39
0.31,1e-05,21.469944993428065,7.863368441156822e-39,3.931684220578411e-39
0.32,1e-05,18.627580616144687,5.97866770820872e-34,2.98933385410436e-34
0.32,1e-05,18.627580616144687,5.97866770820872e-34,2.98933385410436e-34
0.33,1e-05,17.707563416578587,9.355903679656569e-32,4.6779518398282843e-32
0.33,1e-05,17.707563416578587,9.355903679656569e-32,4.6779518398282843e-32
0.34,1e-05,14.253981677558533,1.2763001702691938e-25,6.381500851345969e-26
0.34,1e-05,14.253981677558533,1.2763001702691938e-25,6.381500851345969e-26
0.35000000000000003,1e-05,14.752210184325735,6.29070223767093e-26,3.145351118835465e-26
0.35000000000000003,1e-05,14.752210184325735,6.29070223767093e-26,3.145351118835465e-26
0.36,1e-05,15.593322158859646,8.559841626863378e-28,4.279920813431689e-28
0.36,1e-05,15.593322158859646,8.559841626863378e-28,4.279920813431689e-28
0.37,1e-05,15.102391440733006,6.704268096859651e-27,3.3521340484298254e-27
0.37,1e-05,15.102391440733006,6.704268096859651e-27,3.3521340484298254e-27
0.38,1e-05,11.340451596088192,4.440028584882333e-19,2.2200142924411666e-19
0.38,1e-05,11.340451596088192,4.440028584882333e-19,2.2200142924411666e-19
0.39,1e-05,10.928878123010602,1.3353317988468936e-18,6.676658994234468e-19
0.39,1e-05,10.928878123010602,1.3353317988468936e-18,6.676658994234468e-19
0.4,1e-05,9.659555441872966,7.171703650232837e-16,3.5858518251164187e-16
0.4,1e-05,9.659555441872966,7.171703650232837e-16,3.5858518251164187e-16
0.41000000000000003,1e-05,8.789870064011746,5.351885299019705e-14,2.6759426495098526e-14
0.41000000000000003,1e-05,8.789870064011746,5.351885299019705e-14,2.6759426495098526e-14
0.42,1e-05,9.51511613392197,1.7169964070397367e-15,8.584982035198683e-16
0.42,1e-05,9.51511613392197,1.7169964070397367e-15,8.584982035198683e-16
0.43,1e-05,6.960981580524697,4.082405762887247e-10,2.0412028814436235e-10
0.43,1e-05,6.960981580524697,4.082405762887247e-10,2.0412028814436235e-10
0.44,1e-05,5.529714621613209,2.685827288647121e-07,1.3429136443235605e-07
0.44,1e-05,5.529714621613209,2.685827288647121e-07,1.3429136443235605e-07
0.45,1e-05,4.708187881376875,8.312460493880867e-06,4.1562302469404335e-06
0.45,1e-05,4.708187881376875,8.312460493880867e-06,4.1562302469404335e-06
0.46,0.00019,3.411282867861997,0.0009418683919134162,0.0004709341959567081
0.46,0.00024,3.411282867861997,0.0009418683919134162,0.0004709341959567081
0.47000000000000003,0.00089,3.23967019609053,0.0016347074851385548,0.0008173537425692774
0.47000000000000003,0.00075,3.23967019609053,0.0016347074851385548,0.0008173537425692774
0.48,0.01685,2.005010007794956,0.04776426893240962,0.02388213446620481
0.48,0.01741,2.005010007794956,0.04776426893240962,0.02388213446620481
0.49,0.01895,2.0606309019595686,0.04199873746014044,0.02099936873007022
0.49,0.01913,2.0606309019595686,0.04199873746014044,0.02099936873007022
0.5,0.01469,-2.1082680784264936,0.03756830085793122,0.01878415042896561
0.5,0.01385,-2.1082680784264936,0.03756830085793122,0.01878415042896561
0.51,0.01004,-2.310588196491368,0.022952070984463512,0.011476035492231756
0.51,0.01049,-2.310588196491368,0.022952070984463512,0.011476035492231756
0.52,0.0012,-3.357857521846071,0.001122171395850472,0.000561085697925236
0.52,0.00114,-3.357857521846071,0.001122171395850472,0.000561085697925236
0.53,0.03551,-1.723227274547777,0.08806542932538429,0.044032714662692145
0.53,0.03352,-1.723227274547777,0.08806542932538429,0.044032714662692145
0.54,5e-05,-4.034633786130125,0.0001169312554618316,5.84656277309158e-05
0.54,6e-05,-4.034633786130125,0.0001169312554618316,5.84656277309158e-05
0.55,1e-05,-4.975667442970425,2.826912052241653e-06,1.4134560261208265e-06
0.55,1e-05,-4.975667442970425,2.826912052241653e-06,1.4134560261208265e-06
0.56,1e-05,-4.029853093143787,0.00011721409880434428,5.860704940217214e-05
0.56,2e-05,-4.029853093143787,0.00011721409880434428,5.860704940217214e-05
0.5700000000000001,1e-05,-7.278311542233053,8.903540372786016e-11,4.451770186393008e-11
0.5700000000000001,1e-05,-7.278311542233053,8.903540372786016e-11,4.451770186393008e-11
0.58,1e-05,-10.777399018627781,2.520139559993143e-18,1.2600697799965716e-18
0.58,1e-05,-10.777399018627781,2.520139559993143e-18,1.2600697799965716e-18
0.59,1e-05,-9.309915794454888,3.942985740945051e-15,1.9714928704725256e-15
0.59,1e-05,-9.309915794454888,3.942985740945051e-15,1.9714928704725256e-15
0.6,1e-05,-9.182178991451,8.095413547630608e-15,4.047706773815304e-15
0.6,1e-05,-9.182178991451,8.095413547630608e-15,4.047706773815304e-15
0.61,1e-05,-10.311672678519091,2.552014917959368e-17,1.276007458979684e-17
0.61,1e-05,-10.311672678519091,2.552014917959368e-17,1.276007458979684e-17
0.62,1e-05,-13.3429495292417,1.399950080447659e-23,6.999750402238295e-24
0.62,1e-05,-13.3429495292417,1.399950080447659e-23,6.999750402238295e-24
0.63,1e-05,-12.28028681894214,2.067086166643159e-21,1.0335430833215796e-21
0.63,1e-05,-12.28028681894214,2.067086166643159e-21,1.0335430833215796e-21
0.64,1e-05,-12.248813410600103,6.6098313727400215e-21,3.3049156863700108e-21
0.64,1e-05,-12.248813410600103,6.6098313727400215e-21,3.3049156863700108e-21
0.65,1e-05,-16.68574344583117,2.2241982176246591e-29,1.1120991088123296e-29
0.65,1e-05,-16.68574344583117,2.2241982176246591e-29,1.1120991088123296e-29
0.66,1e-05,-17.96101508078862,3.6509153042750623e-32,1.8254576521375312e-32
0.66,1e-05,-17.96101508078862,3.6509153042750623e-32,1.8254576521375312e-32
0.67,1e-05,-17.324961508832065,3.645869629797858e-30,1.822934814898929e-30
0.67,1e-05,-17.324961508832065,3.645869629797858e-30,1.822934814898929e-30
0.68,1e-05,-20.13878261668938,1.6876919432915522e-36,8.438459716457761e-37
0.68,1e-05,-20.13878261668938,1.6876919432915522e-36,8.438459716457761e-37
0.6900000000000001,1e-05,-21.66336223634437,4.554556605755263e-39,2.2772783028776316e-39
0.6900000000000001,1e-05,-21.66336223634437,4.554556605755263e-39,2.2772783028776316e-39
0.7000000000000001,1e-05,-19.417899638330635,2.390422396557031e-35,1.1952111982785155e-35
0.7000000000000001,1e-05,-19.417899638330635,2.390422396557031e-35,1.1952111982785155e-35
0.71,1e-05,-22.279608625380778,7.255040546308125e-39,3.6275202731540626e-39
0.71,1e-05,-22.279608625380778,7.255040546308125e-39,3.6275202731540626e-39
0.72,1e-05,-23.654322495557622,5.338414154219688e-39,2.669207077109844e-39
0.72,1e-05,-23.654322495557622,5.338414154219688e-39,2.669207077109844e-39
0.73,1e-05,-24.40225112019689,1.7949907178207443e-42,8.974953589103722e-43
0.73,1e-05,-24.40225112019689,1.7949907178207443e-42,8.974953589103722e-43
0.74,1e-05,-26.102524833155208,1.4669984832274057e-44,7.334992416137028e-45
0.74,1e-05,-26.102524833155208,1.4669984832274057e-44,7.334992416137028e-45
0.75,1e-05,-28.955501717143772,8.42465192529382e-46,4.21232596264691e-46
0.75,1e-05,-28.955501717143772,8.42465192529382e-46,4.21232596264691e-46
0.76,1e-05,-26.345228619503644,3.810506555223679e-46,1.9052532776118396e-46
0.76,1e-05,-26.345228619503644,3.810506555223679e-46,1.9052532776118396e-46
0.77,1e-05,-26.122031344599236,1.3482219295170881e-45,6.7411096475854404e-46
0.77,1e-05,-26.122031344599236,1.3482219295170881e-45,6.7411096475854404e-46
0.78,1e-05,-32.31492502532589,3.799196285712711e-52,1.8995981428563556e-52
0.78,1e-05,-32.31492502532589,3.799196285712711e-52,1.8995981428563556e-52
0.79,1e-05,-32.26111824251585,5.393750543035581e-54,2.6968752715177904e-54
0.79,1e-05,-32.26111824251585,5.393750543035581e-54,2.6968752715177904e-54
