type,n,p
same,100,0.55
same,100,0.43
same,100,0.41
same,100,0.47
same,100,0.56
same,100,0.54
same,100,0.55
same,100,0.61
same,100,0.47
same,100,0.49
same,100,0.5
same,100,0.6
same,100,0.48
same,100,0.55
same,100,0.56
same,100,0.5
same,100,0.51
same,100,0.56
same,100,0.52
same,100,0.57
same,100,0.48
same,100,0.51
same,100,0.56
same,100,0.5
same,100,0.57
same,100,0.6
same,100,0.51
same,100,0.49
same,100,0.47
same,100,0.5
same,100,0.43
same,100,0.54
same,100,0.51
same,100,0.52
same,100,0.44
same,100,0.42
same,100,0.52
same,100,0.61
same,100,0.43
same,100,0.55
same,100,0.48
same,100,0.42
same,100,0.52
same,100,0.46
same,100,0.53
same,100,0.45
same,100,0.5
same,100,0.44
same,100,0.52
same,100,0.52
same,1000,0.494
same,1000,0.534
same,1000,0.498
same,1000,0.491
same,1000,0.492
same,1000,0.506
same,1000,0.496
same,1000,0.52
same,1000,0.536
same,1000,0.526
same,1000,0.537
same,1000,0.518
same,1000,0.503
same,1000,0.496
same,1000,0.517
same,1000,0.536
same,1000,0.525
same,1000,0.506
same,1000,0.508
same,1000,0.515
same,1000,0.534
same,1000,0.519
same,1000,0.53
same,1000,0.465
same,1000,0.49
same,1000,0.508
same,1000,0.518
same,1000,0.514
same,1000,0.497
same,1000,0.506
same,1000,0.505
same,1000,0.505
same,1000,0.51
same,1000,0.517
same,1000,0.534
same,1000,0.494
same,1000,0.482
same,1000,0.494
same,1000,0.507
same,1000,0.491
same,1000,0.516
same,1000,0.507
same,1000,0.508
same,1000,0.508
same,1000,0.482
same,1000,0.51
same,1000,0.526
same,1000,0.487
same,1000,0.506
same,1000,0.49
same,10000,0.5047
same,10000,0.5117
same,10000,0.5072
same,10000,0.5056
same,10000,0.5105
same,10000,0.5057
same,10000,0.5057
same,10000,0.5092
same,10000,0.504
same,10000,0.5174
same,10000,0.5048
same,10000,0.5068
same,10000,0.5047
same,10000,0.5039
same,10000,0.5116
same,10000,0.5096
same,10000,0.4986
same,10000,0.5113
same,10000,0.5153
same,10000,0.5172
same,10000,0.5088
same,10000,0.5137
same,10000,0.5088
same,10000,0.5078
same,10000,0.5079
same,10000,0.5048
same,10000,0.517
same,10000,0.5019
same,10000,0.5032
same,10000,0.5029
same,10000,0.5055
same,10000,0.505
same,10000,0.5071
same,10000,0.5105
same,10000,0.5027
same,10000,0.516
same,10000,0.4988
same,10000,0.5046
same,10000,0.5222
same,10000,0.5095
same,10000,0.5016
same,10000,0.5078
same,10000,0.5111
same,10000,0.5163
same,10000,0.5077
same,10000,0.5178
same,10000,0.501
same,10000,0.4999
same,10000,0.5084
same,10000,0.5103
same,100000,0.50823
same,100000,0.50992
same,100000,0.50633
same,100000,0.50777
same,100000,0.50831
same,100000,0.5109
same,100000,0.50928
same,100000,0.50851
same,100000,0.50685
same,100000,0.50533
same,100000,0.51003
same,100000,0.50881
same,100000,0.50657
same,100000,0.51106
same,100000,0.51016
same,100000,0.50448
same,100000,0.51053
same,100000,0.50963
same,100000,0.50999
same,100000,0.50747
same,100000,0.50977
same,100000,0.5083
same,100000,0.50716
same,100000,0.50753
same,100000,0.50964
same,100000,0.50939
same,100000,0.51034
same,100000,0.51088
same,100000,0.50789
same,100000,0.51038
same,100000,0.50474
same,100000,0.5072
same,100000,0.50816
same,100000,0.50569
same,100000,0.50898
same,100000,0.51027
same,100000,0.50802
same,100000,0.50828
same,100000,0.50596
same,100000,0.50922
same,100000,0.50722
same,100000,0.50978
same,100000,0.50564
same,100000,0.50794
same,100000,0.5082
same,100000,0.50676
same,100000,0.50769
same,100000,0.50734
same,100000,0.50977
same,100000,0.50659
stat,100,0.07
stat,100,0.08
stat,100,0.04
stat,100,0.08
stat,100,0.06
stat,100,0.06
stat,100,0.08
stat,100,0.04
stat,100,0.07
stat,100,0.03
stat,100,0.05
stat,100,0.04
stat,100,0.09
stat,100,0.11
stat,100,0.08
stat,100,0.07
stat,100,0.07
