n,dist,p
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
10000,0.4,0.0003
10000,0.4,0.0003
10000,0.4,0.0005
10000,0.4,0.0004
10000,0.4,0.0003
100000,0.4,0.00039
100000,0.4,0.00042
100000,0.4,0.00037
100000,0.4,0.00057
100000,0.4,0.00051
100,0.41000000000000003,0.01
100,0.41000000000000003,0.01
100,0.41000000000000003,0.01
100,0.41000000000000003,0.01
100,0.41000000000000003,0.01
1000,0.41000000000000003,0.001
1000,0.41000000000000003,0.001
1000,0.41000000000000003,0.001
1000,0.41000000000000003,0.001
1000,0.41000000000000003,0.001
10000,0.41000000000000003,0.0004
10000,0.41000000000000003,0.0006
10000,0.41000000000000003,0.0006
10000,0.41000000000000003,0.0008
10000,0.41000000000000003,0.0002
100000,0.41000000000000003,0.00048
100000,0.41000000000000003,0.0004
100000,0.41000000000000003,0.00044
100000,0.41000000000000003,0.00037
100000,0.41000000000000003,0.00048
100,0.42000000000000004,0.01
100,0.42000000000000004,0.01
100,0.42000000000000004,0.01
100,0.42000000000000004,0.01
100,0.42000000000000004,0.01
1000,0.42000000000000004,0.003
1000,0.42000000000000004,0.007
1000,0.42000000000000004,0.004
1000,0.42000000000000004,0.006
1000,0.42000000000000004,0.002
10000,0.42000000000000004,0.0033
10000,0.42000000000000004,0.005
10000,0.42000000000000004,0.0045
10000,0.42000000000000004,0.004
10000,0.42000000000000004,0.0056
100000,0.42000000000000004,0.00397
100000,0.42000000000000004,0.00448
100000,0.42000000000000004,0.00455
100000,0.42000000000000004,0.00429
100000,0.42000000000000004,0.00393
100,0.43000000000000005,0.01
100,0.43000000000000005,0.01
100,0.43000000000000005,0.01
100,0.43000000000000005,0.01
100,0.43000000000000005,0.01
1000,0.43000000000000005,0.007
1000,0.43000000000000005,0.006
1000,0.43000000000000005,0.006
1000,0.43000000000000005,0.007
1000,0.43000000000000005,0.009
10000,0.43000000000000005,0.0074
10000,0.43000000000000005,0.0066
10000,0.43000000000000005,0.0054
10000,0.43000000000000005,0.0086
10000,0.43000000000000005,0.0072
100000,0.43000000000000005,0.00669
100000,0.43000000000000005,0.00722
100000,0.43000000000000005,0.00715
100000,0.43000000000000005,0.00725
100000,0.43000000000000005,0.00657
100,0.44000000000000006,0.03
100,0.44000000000000006,0.01
100,0.44000000000000006,0.01
100,0.44000000000000006,0.01
100,0.44000000000000006,0.01
1000,0.44000000000000006,0.024
1000,0.44000000000000006,0.013
1000,0.44000000000000006,0.014
1000,0.44000000000000006,0.017
