type,n,p
same,10,0.4
same,10,0.5
same,10,0.3
same,10,0.5
same,10,0.6
same,10,0.5
same,10,0.5
same,10,0.8
same,10,0.7
same,10,0.2
same,10,0.6
same,10,0.6
same,10,0.5
same,10,0.5
same,10,0.8
same,10,0.6
same,10,0.3
same,10,0.4
same,10,0.5
same,10,0.9
same,10,0.5
same,10,0.5
same,10,0.6
same,10,0.5
same,10,0.2
same,10,0.2
same,10,0.6
same,10,0.6
same,10,0.5
same,10,0.3
same,10,0.5
same,10,0.9
same,10,0.5
same,10,0.6
same,10,0.8
same,10,0.7
same,10,0.8
same,10,0.6
same,10,0.4
same,10,0.1
same,10,0.2
same,10,0.4
same,10,0.6
same,10,0.6
same,10,0.5
same,10,0.4
same,10,0.7
same,10,0.4
same,10,0.8
same,10,0.4
same,100,0.47
same,100,0.42
same,100,0.46
same,100,0.59
same,100,0.53
same,100,0.46
same,100,0.53
same,100,0.46
same,100,0.54
same,100,0.51
same,100,0.52
same,100,0.49
same,100,0.53
same,100,0.54
same,100,0.5
same,100,0.49
same,100,0.56
same,100,0.54
same,100,0.56
same,100,0.48
same,100,0.53
same,100,0.53
same,100,0.48
same,100,0.52
same,100,0.56
same,100,0.59
same,100,0.52
same,100,0.45
same,100,0.5
same,100,0.59
same,100,0.49
same,100,0.52
same,100,0.46
same,100,0.49
same,100,0.51
same,100,0.45
same,100,0.56
same,100,0.46
same,100,0.44
same,100,0.44
same,100,0.5
same,100,0.47
same,100,0.52
same,100,0.51
same,100,0.48
same,100,0.41
same,100,0.54
same,100,0.47
same,100,0.48
same,100,0.55
same,1000,0.513
same,1000,0.485
same,1000,0.522
same,1000,0.491
same,1000,0.508
same,1000,0.497
same,1000,0.51
same,1000,0.507
same,1000,0.496
same,1000,0.517
same,1000,0.505
same,1000,0.481
same,1000,0.485
same,1000,0.494
same,1000,0.508
same,1000,0.524
same,1000,0.499
same,1000,0.488
same,1000,0.497
same,1000,0.477
same,1000,0.483
same,1000,0.486
same,1000,0.489
same,1000,0.486
same,1000,0.491
same,1000,0.498
same,1000,0.494
same,1000,0.5
same,1000,0.513
same,1000,0.503
same,1000,0.47
same,1000,0.49
same,1000,0.527
same,1000,0.509
same,1000,0.525
same,1000,0.508
same,1000,0.499
same,1000,0.49
same,1000,0.455
same,1000,0.498
same,1000,0.49
same,1000,0.477
same,1000,0.49
same,1000,0.493
same,1000,0.462
same,1000,0.528
same,1000,0.509
same,1000,0.501
same,1000,0.509
same,1000,0.5
same,10000,0.499
same,10000,0.4878
same,10000,0.4977
same,10000,0.5038
same,10000,0.4942
same,10000,0.5085
same,10000,0.5034
same,10000,0.499
same,10000,0.5018
same,10000,0.5121
same,10000,0.5019
same,10000,0.5066
same,10000,0.5117
same,10000,0.4947
same,10000,0.4994
same,10000,0.4964
same,10000,0.5015
same,10000,0.5016
same,10000,0.5001
same,10000,0.5001
same,10000,0.4925
same,10000,0.5052
same,10000,0.5051
same,10000,0.505
same,10000,0.4993
same,10000,0.5028
same,10000,0.4997
same,10000,0.4968
same,10000,0.4982
same,10000,0.5002
same,10000,0.5035
same,10000,0.4977
same,10000,0.5011
same,10000,0.4944
same,10000,0.5067
same,10000,0.5005
same,10000,0.4965
same,10000,0.5073
same,10000,0.5012
same,10000,0.5023
same,10000,0.4952
same,10000,0.5008
same,10000,0.4944
same,10000,0.5053
same,10000,0.4995
same,10000,0.5011
same,10000,0.4981
same,10000,0.4995
same,10000,0.506
same,10000,0.4933
same,100000,0.49915
same,100000,0.49995
same,100000,0.49761
same,100000,0.50155
same,100000,0.49913
same,100000,0.5013
same,100000,0.49775
same,100000,0.49784
same,100000,0.49741
same,100000,0.49926
same,100000,0.49815
same,100000,0.50052
same,100000,0.50205
same,100000,0.5002
same,100000,0.49826
same,100000,0.50065
same,100000,0.50014
same,100000,0.4993
same,100000,0.50224
same,100000,0.49885
same,100000,0.50052
