n,delta,p
10,0,0.4
10,0,0.4
10,0,0.6
10,0,0.4
10,0,0.4
10,0,0.2
10,0,0.5
10,0,0.4
10,0,0.5
10,0,0.4
10,5,0.2
10,5,0.2
10,5,0.2
10,5,0.2
10,5,0.4
10,5,0.3
10,5,0.2
10,5,0.6
10,5,0.4
10,5,0.2
10,10,0.1
10,10,0.0
10,10,0.1
10,10,0.0
10,10,0.0
10,10,0.0
10,10,0.3
10,10,0.0
10,10,0.1
10,10,0.0
10,15,0.2
10,15,0.1
10,15,0.0
10,15,0.3
10,15,0.0
10,15,0.3
10,15,0.2
10,15,0.2
10,15,0.3
10,15,0.1
10,20,0.0
10,20,0.6
10,20,0.4
10,20,0.5
10,20,0.4
10,20,0.5
10,20,0.5
10,20,0.2
10,20,0.5
10,20,0.0
10,25,0.0
10,25,0.0
10,25,0.0
10,25,0.1
10,25,0.1
10,25,0.1
10,25,0.0
10,25,0.0
10,25,0.2
10,25,0.0
10,30,0.4
10,30,0.4
10,30,0.3
10,30,0.4
10,30,0.4
10,30,0.4
10,30,0.4
10,30,0.4
10,30,0.3
10,30,0.3
10,35,0.0
10,35,0.1
10,35,0.0
10,35,0.0
10,35,0.0
10,35,0.1
10,35,0.0
10,35,0.0
10,35,0.1
10,35,0.0
10,40,0.0
10,40,0.0
10,40,0.0
10,40,0.0
10,40,0.0
10,40,0.2
10,40,0.1
10,40,0.1
10,40,0.1
10,40,0.1
10,45,0.1
10,45,0.2
10,45,0.2
10,45,0.2
10,45,0.0
10,45,0.2
10,45,0.3
10,45,0.1
10,45,0.3
10,45,0.2
10,50,0.0
10,50,0.0
10,50,0.0
10,50,0.0
10,50,0.0
10,50,0.0
10,50,0.0
10,50,0.0
10,50,0.0
10,50,0.0
10,55,0.0
10,55,0.0
10,55,0.0
10,55,0.1
10,55,0.0
10,55,0.0
10,55,0.0
10,55,0.0
10,55,0.1
10,55,0.0
10,60,0.0
10,60,0.0
10,60,0.0
10,60,0.0
10,60,0.0
10,60,0.0
10,60,0.0
10,60,0.0
10,60,0.0
10,60,0.0
10,65,0.0
10,65,0.0
10,65,0.0
10,65,0.0
10,65,0.0
10,65,0.0
10,65,0.0
10,65,0.0
10,65,0.0
10,65,0.0
10,70,0.0
10,70,0.0
10,70,0.0
10,70,0.0
10,70,0.0
10,70,0.0
10,70,0.0
10,70,0.0
10,70,0.0
10,70,0.0
10,75,0.0
10,75,0.0
10,75,0.0
10,75,0.0
10,75,0.0
10,75,0.0
10,75,0.0
10,75,0.0
10,75,0.0
10,75,0.0
10,80,0.0
10,80,0.0
10,80,0.0
10,80,0.0
10,80,0.0
10,80,0.0
10,80,0.0
10,80,0.0
10,80,0.0
10,80,0.0
10,85,0.1
10,85,0.1
10,85,0.2
10,85,0.1
10,85,0.2
10,85,0.1
10,85,0.2
10,85,0.1
10,85,0.1
10,85,0.0
10,90,0.0
10,90,0.0
10,90,0.0
10,90,0.0
10,90,0.0
10,90,0.0
10,90,0.0
10,90,0.0
10,90,0.0
10,90,0.0
10,95,0.0
10,95,0.0
10,95,0.0
10,95,0.0
10,95,0.0
10,95,0.0
10,95,0.0
10,95,0.0
10,95,0.0
10,95,0.0
10,100,0.0
10,100,0.0
10,100,0.0
10,100,0.0
10,100,0.0
10,100,0.0
10,100,0.0
10,100,0.0
10,100,0.0
10,100,0.0
10,105,0.0
10,105,0.0
10,105,0.0
10,105,0.0
10,105,0.0
10,105,0.0
10,105,0.0
10,105,0.0
10,105,0.0
10,105,0.0
10,110,0.0
10,110,0.0
10,110,0.0
10,110,0.0
10,110,0.0
10,110,0.0
10,110,0.0
10,110,0.0
10,110,0.0
10,110,0.0
10,115,0.0
10,115,0.0
10,115,0.0
