variance,p,t,p_t
0,0.0004,-3.608683078984613,0.0007213853637099507
1,0.00138,-3.162105563864442,0.0026873270104343875
2,0.00024,-3.684864883249114,0.0005713200015309722
3,0.0034,-2.8295321624165433,0.0067352459462176
4,0.0,-5.775609121209492,5.090308427493605e-07
5,0.00189,-2.979682490378811,0.004471143455578255
6,1e-05,-5.20272830796534,3.797101588643084e-06
7,6e-05,-4.067299007798645,0.00017009755405122433
8,0.00056,-3.357927923087738,0.0015144003462332649
9,0.00459,-2.676067134731053,0.010035099097702276
10,0.0003,-3.694864248875469,0.0005438794031731336
11,0.00086,-3.317051951071102,0.0016946539721000296
12,0.00017,-3.8057204538745038,0.00038489223576027996
13,0.00459,-2.6926520945550894,0.009599606540906407
14,0.1162,-1.18978666866404,0.23970993242195526
15,0.00058,-3.4649639348813146,0.0010654401860698268
16,0.00218,-2.9840541993346754,0.0043505427309130495
17,0.00018,-3.861938991154214,0.00031431725604878693
18,0.03683,-1.795319332151543,0.07830602183025212
19,2e-05,-4.407175729160681,5.197617739314966e-05
20,0.0006,-3.5233805822158706,0.0008887104022030727
21,0.0,-5.065734270457311,5.0682400395651346e-06
22,0.0096,-2.3913185000235684,0.020200255397911527
23,0.0,-5.022472215044432,5.877876092736836e-06
24,0.00012,-3.892661064693523,0.00027855820061266525
25,0.00357,-2.751373564202902,0.008065664964146502
26,0.0693,-1.4808893285540616,0.14422009412640485
27,0.00198,-3.0156805898096755,0.00386323041501653
28,0.00181,-3.0097971634283356,0.003864543420229606
29,0.00333,-2.8131081083755762,0.0067830553519930645
30,0.00041,-3.502406366328647,0.000856186559764616
31,0.00012,-4.093702123660756,0.00012900986365512365
32,0.00018,-3.884398182402731,0.0002478488783462005
33,0.0,-4.925196614525675,8.041318977550314e-06
34,0.02047,-2.0650652347174785,0.0434799263425725
35,0.0001,-4.247233089634229,7.296778345366446e-05
36,0.00333,-2.833900186044513,0.006261904039829601
37,0.00094,-3.229782842261526,0.0018952960330925084
38,5e-05,-4.3514761984442,5.412495110205948e-05
39,0.00043,-3.504998233070591,0.0008854111508837946
40,0.00304,-2.8073436468584556,0.006725373851087948
41,0.03383,-1.848847300614849,0.06895175290642837
42,0.0013,-3.1152512045609266,0.00276249876370211
43,0.00074,-3.3901465652588336,0.001136513290201062
44,0.00595,-2.56698277819654,0.012670827492580078
45,0.00071,-3.372999506976899,0.0012158277450999325
46,9e-05,-4.1007406065052345,0.00010496202576506387
47,0.06443,-1.5244902534704767,0.13196986178478012
48,0.00068,-3.304635842427704,0.0015758375493404883
49,0.08504,-1.3707265066234129,0.1748597390003412
50,0.00525,-2.6145079465859724,0.010895775256755696
51,0.00026,-3.775240356766397,0.0003294155920041901
52,0.01348,-2.2513714621945264,0.027241653085394613
53,0.00034,-3.6448432935365638,0.00049173333361935
54,0.00143,-3.1525732064202208,0.0023261428048370913
55,0.02344,-2.012991109820655,0.048089777206250475
56,0.00019,-3.701082192961038,0.0004077393480998811
57,0.01464,-2.2215534469035236,0.029106031603307932
58,0.02668,-1.9499918770307436,0.05463443167232425
59,1e-05,-4.503054303079004,2.1023544631713374e-05
60,0.00494,-2.638582496159455,0.009937883256507143
61,0.00386,-2.7493834819849408,0.007308506965064066
62,0.17963,-0.9145801324154913,0.36329953172708696
63,0.02411,-1.9931892687966966,0.04995163032504847
64,0.00025,-3.6585612318866856,0.00042419980078933436
65,7e-05,-4.003638827210832,0.00013339569558378818
66,0.05425,-1.6079705296567803,0.1118412352123396
67,0.05803,-1.573207726135012,0.1191705835872723
68,0.0,-4.656378651329713,1.0367106898695195e-05
69,0.01244,-2.2901858263309403,0.024197992917328846
70,0.02503,-1.9710523456833628,0.05219260718987734
71,3e-05,-4.713667073155436,9.934677410060871e-06
72,0.00079,-3.347745843250097,0.0011668815717482475
73,0.00299,-2.8571501599612823,0.005369634271877104
74,3e-05,-4.452479960298355,2.5695697467193816e-05
75,7e-05,-4.128678126821377,7.907068509468174e-05
76,0.00123,-3.1290389574997852,0.002327591945756525
77,0.00971,-2.3796440904862206,0.01926872593660169
78,0.04713,-1.6774114639571585,0.09681112650517255
79,0.04453,-1.7035395601419525,0.09200674294956548
80,0.00013,-3.717067033379646,0.0003492706602888194
81,6e-05,-4.184173434051078,6.37792571696267e-05
82,0.04498,-1.7098511554940456,0.09049711286243556
83,5e-05,-4.047968269936429,0.00010340994128550347
84,0.08069,-1.4005990249257319,0.16463396499973346
85,0.00436,-2.6676200021274266,0.00893946322416172
86,0.02847,-1.9259749951168053,0.05710552411595122
87,0.01856,-2.1034876877590243,0.03798413233006561
88,0.03259,-1.8507615219082367,0.06724685666945387
89,0.00869,-2.406125558358269,0.01801295628891649
90,0.00208,-2.936824599609395,0.004151677281583222
91,0.00976,-2.373708206383406,0.01957374781955658
92,0.0631,-1.5202364136984845,0.13167235392834964
93,0.0037,-2.7806572230727236,0.006508692268351576
94,0.0,-5.013683485599858,2.3886361569975238e-06
95,0.03893,-1.7813394681795816,0.07796611571230984
96,0.00488,-2.6598234062765767,0.00927124526317427
97,0.00993,-2.3850050033522674,0.01908769457100994
98,0.03512,-1.8168561004441373,0.07231104922939152
99,0.00979,-2.358871123045381,0.020317823544222496
