type,n,p,corr_p
same,100,0.51,0.51
same,100,0.42,0.42
same,100,0.51,0.51
same,100,0.53,0.53
same,100,0.5,0.5
same,100,0.5,0.5
same,100,0.53,0.53
same,100,0.41,0.41
same,100,0.5,0.5
same,100,0.51,0.51
same,100,0.47,0.47
same,100,0.47,0.47
same,100,0.47,0.47
same,100,0.4,0.4
same,100,0.51,0.51
same,100,0.56,0.56
same,100,0.42,0.42
same,100,0.48,0.48
same,100,0.47,0.47
same,100,0.62,0.62
same,100,0.57,0.57
same,100,0.47,0.47
same,100,0.52,0.52
same,100,0.42,0.42
same,100,0.43,0.43
same,100,0.43,0.43
same,100,0.42,0.42
same,100,0.47,0.47
same,100,0.5,0.5
same,100,0.55,0.55
same,100,0.45,0.45
same,100,0.57,0.57
same,100,0.37,0.37
same,100,0.43,0.43
same,100,0.45,0.45
same,100,0.37,0.37
same,100,0.48,0.48
same,100,0.44,0.44
same,100,0.52,0.52
same,100,0.44,0.44
same,100,0.49,0.49
same,100,0.6,0.6
same,100,0.51,0.51
same,100,0.4,0.4
same,100,0.53,0.53
same,100,0.44,0.44
same,100,0.48,0.48
same,100,0.58,0.58
same,100,0.43,0.43
same,100,0.49,0.49
same,1000,0.501,0.501
same,1000,0.48,0.48
same,1000,0.509,0.509
same,1000,0.501,0.501
same,1000,0.483,0.483
same,1000,0.492,0.492
same,1000,0.506,0.506
same,1000,0.48,0.48
same,1000,0.497,0.497
same,1000,0.498,0.498
same,1000,0.495,0.495
same,1000,0.516,0.516
same,1000,0.498,0.498
same,1000,0.501,0.501
same,1000,0.504,0.504
same,1000,0.496,0.496
same,1000,0.503,0.503
same,1000,0.508,0.508
same,1000,0.518,0.518
same,1000,0.494,0.494
same,1000,0.523,0.523
same,1000,0.489,0.489
same,1000,0.508,0.508
same,1000,0.544,0.544
same,1000,0.497,0.497
same,1000,0.475,0.475
same,1000,0.507,0.507
same,1000,0.514,0.514
same,1000,0.504,0.504
same,1000,0.495,0.495
same,1000,0.51,0.51
same,1000,0.478,0.478
same,1000,0.51,0.51
same,1000,0.478,0.478
same,1000,0.517,0.517
same,1000,0.506,0.506
same,1000,0.496,0.496
same,1000,0.514,0.514
same,1000,0.488,0.488
same,1000,0.505,0.505
same,1000,0.471,0.471
same,1000,0.484,0.484
same,1000,0.518,0.518
same,1000,0.488,0.488
