n,delta,p,corr_p
100,0,0.12,0.12
100,0,0.18,0.18
100,0,0.17,0.17
100,0,0.18,0.18
100,0,0.18,0.18
100,0,0.14,0.14
100,0,0.16,0.16
100,0,0.18,0.18
100,0,0.16,0.16
100,0,0.12,0.12
1000,0,0.151,0.151
1000,0,0.128,0.128
1000,0,0.148,0.148
1000,0,0.143,0.143
1000,0,0.16,0.16
1000,0,0.146,0.146
1000,0,0.15,0.15
1000,0,0.156,0.156
1000,0,0.124,0.124
1000,0,0.148,0.148
10000,0,0.1461,0.1461
10000,0,0.1507,0.1507
10000,0,0.1501,0.1501
10000,0,0.1495,0.1495
10000,0,0.1446,0.1446
10000,0,0.1495,0.1495
10000,0,0.1485,0.1485
10000,0,0.1509,0.1509
10000,0,0.1416,0.1416
10000,0,0.1503,0.1503
100000,0,0.15144,0.15144
100000,0,0.14983,0.14983
100000,0,0.15097,0.15097
100000,0,0.15205,0.15205
100000,0,0.151,0.151
100000,0,0.14817,0.14817
100000,0,0.14973,0.14973
100000,0,0.14823,0.14823
100000,0,0.14834,0.14834
100000,0,0.15091,0.15091
100,5,0.09,0.09
100,5,0.11,0.11
100,5,0.07,0.07
100,5,0.09,0.09
100,5,0.04,0.04
100,5,0.07,0.07
100,5,0.05,0.05
100,5,0.05,0.05
100,5,0.05,0.05
100,5,0.05,0.05
1000,5,0.075,0.075
1000,5,0.077,0.077
1000,5,0.075,0.075
1000,5,0.082,0.082
1000,5,0.078,0.078
1000,5,0.074,0.074
1000,5,0.082,0.082
1000,5,0.09,0.09
1000,5,0.09,0.09
1000,5,0.073,0.073
10000,5,0.0809,0.0809
10000,5,0.0822,0.0822
10000,5,0.08,0.08
10000,5,0.0753,0.0753
10000,5,0.0767,0.0767
10000,5,0.0782,0.0782
10000,5,0.0778,0.0778
10000,5,0.0785,0.0785
10000,5,0.0789,0.0789
10000,5,0.0771,0.0771
100000,5,0.08039,0.08039
100000,5,0.07941,0.07941
100000,5,0.07919,0.07919
100000,5,0.08024,0.08024
100000,5,0.07802,0.07802
100000,5,0.07791,0.07791
100000,5,0.08,0.08
100000,5,0.07755,0.07755
100000,5,0.07978,0.07978
100000,5,0.07776,0.07776
100,10,0.35,0.35
100,10,0.32,0.32
100,10,0.34,0.34
100,10,0.33,0.33
100,10,0.29,0.29
100,10,0.36,0.36
100,10,0.29,0.29
