delta,p,corr_p,t,p_t (two),p_t (one)
-200,1e-05,1e-05,8.902560399670906,1.383773070141673e-13,6.918865350708365e-14
-199,1e-05,1e-05,9.124042446722127,3.8216653702478626e-14,1.9108326851239313e-14
-198,1e-05,1e-05,6.012903913685906,5.396726290543732e-08,2.698363145271866e-08
-197,1e-05,1e-05,7.0063856066271475,9.58063881853217e-10,4.790319409266085e-10
-196,1e-05,1e-05,7.471279880302787,1.3854991108311706e-10,6.927495554155853e-11
-195,1e-05,1e-05,5.551150303520787,4.3773201023269777e-07,2.1886600511634888e-07
-194,1e-05,1e-05,7.630473943960314,4.3139152894680005e-11,2.1569576447340003e-11
-193,1e-05,1e-05,6.606087115738656,2.626542109721719e-09,1.3132710548608595e-09
-192,1e-05,1e-05,5.733846573125004,1.62018754595751e-07,8.10093772978755e-08
-191,1e-05,1e-05,6.085069085423098,4.465034728536501e-08,2.2325173642682505e-08
-190,1e-05,1e-05,6.01715014147637,6.509255261323984e-08,3.254627630661992e-08
-189,1e-05,1e-05,7.674978413993315,6.340356497094967e-11,3.1701782485474834e-11
-188,1e-05,1e-05,7.460301482900463,6.476044633548568e-11,3.238022316774284e-11
-187,1e-05,1e-05,5.94344832417863,7.60206446658336e-08,3.80103223329168e-08
-186,1e-05,1e-05,7.018414754470028,6.271656373840648e-10,3.135828186920324e-10
-185,1e-05,1e-05,5.977627094923343,4.652119958290763e-08,2.3260599791453815e-08
-184,1e-05,1e-05,6.094607316904777,3.6597676231339055e-08,1.8298838115669527e-08
-183,1e-05,1e-05,6.360923433470647,1.0054678294480849e-08,5.0273391472404244e-09
-182,1e-05,1e-05,6.322397205133582,1.1645182132764926e-08,5.822591066382463e-09
-181,1e-05,1e-05,6.141132604653642,1.999106153617195e-08,9.995530768085976e-09
-180,1e-05,1e-05,5.224867697245557,1.3506031617197118e-06,6.753015808598559e-07
-179,1e-05,1e-05,6.981201014429056,5.257191252587989e-10,2.6285956262939946e-10
-178,1e-05,1e-05,7.504594323231318,1.41273035115557e-10,7.06365175577785e-11
-177,1e-05,1e-05,6.319662191784034,1.1720185041050502e-08,5.860092520525251e-09
-176,1e-05,1e-05,4.970350096824471,3.59133637420011e-06,1.795668187100055e-06
-175,1e-05,1e-05,5.985140318456775,4.67543358376579e-08,2.337716791882895e-08
-174,2e-05,2e-05,4.5306894584610555,2.235872692010389e-05,1.1179363460051944e-05
-173,1e-05,1e-05,5.52829530001205,4.097520523190933e-07,2.0487602615954665e-07
-172,1e-05,1e-05,6.498320607976263,4.684732744734717e-09,2.3423663723673585e-09
-171,0.00021,0.00021,3.904403270279699,0.000187002560079584,9.3501280039792e-05
-170,1e-05,1e-05,4.564332123202138,1.6578537757354156e-05,8.289268878677078e-06
-169,1e-05,1e-05,5.44526470404553,4.3093066313814523e-07,2.1546533156907261e-07
-168,1e-05,1e-05,5.511555199528663,3.6432828826677336e-07,1.8216414413338668e-07
-167,1e-05,1e-05,6.047332114793974,5.254178244044124e-08,2.627089122022062e-08
-166,6e-05,6e-05,4.414836330047798,3.18575176031306e-05,1.59287588015653e-05
-165,1e-05,1e-05,5.6326860853436065,2.3315478524449854e-07,1.1657739262224927e-07
-164,2e-05,2e-05,4.747395350139786,8.976766793866804e-06,4.488383396933402e-06
-163,1e-05,1e-05,4.462708262790835,2.9825957233241745e-05,1.4912978616620872e-05
-162,1e-05,1e-05,5.542872581967954,3.218321954511046e-07,1.609160977255523e-07
-161,0.00034,0.00034,3.6879063340835723,0.0003926667569247394,0.0001963333784623697
-160,1e-05,1e-05,5.533524277236626,3.396634337062432e-07,1.698317168531216e-07
-159,0.00029,0.00029,3.636681690899643,0.0005017160961079934,0.0002508580480539967
-158,1e-05,1e-05,5.065456401081903,2.788685901677035e-06,1.3943429508385176e-06
-157,0.0001,0.0001,3.988490931999723,0.00013209704750916614,6.604852375458307e-05
-156,2e-05,2e-05,4.270091759716157,5.570025730981856e-05,2.785012865490928e-05
-155,1e-05,1e-05,5.410074539345682,7.093222613329402e-07,3.546611306664701e-07
-154,0.00188,0.00188,3.05150721585746,0.0031627815366245134,0.0015813907683122567
-153,0.00432,0.00432,2.694042941580501,0.008460738877048783,0.004230369438524392
-152,2e-05,2e-05,4.7665244946514,8.439289652215777e-06,4.219644826107888e-06
-151,5e-05,5e-05,4.212162211322725,7.036390588051261e-05,3.518195294025631e-05
-150,0.0009,0.0009,3.2354646162852894,0.0017197966031340642,0.0008598983015670321
-149,1e-05,1e-05,6.81262411683974,1.2588709071428761e-09,6.294354535714381e-10
-148,0.00438,0.00438,2.6760416134637794,0.008982115253191272,0.004491057626595636
-147,1e-05,1e-05,5.369056973403167,8.6311557458286e-07,4.3155778729143e-07
-146,1e-05,1e-05,4.5514982186614485,1.7676363481533952e-05,8.838181740766976e-06
-145,0.00164,0.00164,3.076560287649605,0.002788232985305045,0.0013941164926525224
-144,1e-05,1e-05,4.150320110713527,7.274997135526081e-05,3.6374985677630405e-05
-143,1e-05,1e-05,4.877963115999841,4.926085632117726e-06,2.463042816058863e-06
-142,0.00011,0.00011,4.013699976230487,0.00013669402355532357,6.834701177766179e-05
-141,0.00164,0.00164,3.049979408641247,0.003117914508381811,0.0015589572541909054
-140,0.00147,0.00147,3.033682074728253,0.0032338720933454486,0.0016169360466727243
-139,0.00227,0.00227,2.933168551956077,0.0044626966825700495,0.0022313483412850247
-138,1e-05,1e-05,5.004080272403774,3.476433392312734e-06,1.738216696156367e-06
-137,0.01141,0.01141,2.3099905049285336,0.02318302630822963,0.011591513154114816
-136,0.00045,0.00045,3.4529590514054886,0.0008540732250080093,0.00042703661250400465
-135,0.00021,0.00021,3.824759219264983,0.0002850097525280006,0.0001425048762640003
-134,2e-05,2e-05,4.414858038517447,3.197748677595453e-05,1.5988743387977264e-05
-133,0.00071,0.00071,3.306499049881101,0.0014209173479962668,0.0007104586739981334
-132,0.01803,0.01803,2.1189302797098346,0.03697941806946353,0.018489709034731766
-131,0.00015,0.00015,3.8136285058425603,0.00030711106322878245,0.00015355553161439122
-130,0.00385,0.00385,2.7356043454030217,0.007861718431650318,0.003930859215825159
-129,0.00021,0.00021,3.67302321903322,0.0004521291422933194,0.0002260645711466597
-128,0.00577,0.00577,2.570035039337234,0.012173095648269955,0.006086547824134978
-127,0.19109,0.19109,0.871708322802803,0.3857631672632946,0.1928815836316473
-126,0.02268,0.02268,2.0192784156485417,0.04690974477447854,0.02345487238723927
-125,0.00319,0.00319,2.83518862711391,0.006178926248710335,0.0030894631243551674
-124,0.02281,0.02281,2.023230276433391,0.04590931106228557,0.022954655531142783
-123,0.00719,0.00719,2.506947000888806,0.014201506152877855,0.007100753076438928
-122,0.20883,0.20883,0.8069746887882823,0.42216384198043955,0.21108192099021977
-121,0.00011,0.00011,3.7604744874880995,0.0003029639519788087,0.00015148197598940436
-120,1e-05,1e-05,4.654870322031982,1.585573556774954e-05,7.92786778387477e-06
-119,0.00286,0.00286,2.844374929756584,0.005671151176214551,0.0028355755881072755
-118,0.04366,0.04366,1.7264870699170538,0.088771884642691,0.0443859423213455
-117,0.00032,0.00032,3.5601347643611643,0.00062303444336938,0.00031151722168469
-116,0.0455,0.0455,1.7001003931356227,0.09256575767197396,0.04628287883598698
-115,0.00626,0.00626,2.548174225811319,0.012936808854995206,0.006468404427497603
-114,0.00125,0.00125,3.129052700674404,0.0024806374202900106,0.0012403187101450053
-113,0.02199,0.02199,2.033321638264426,0.04517725168250546,0.02258862584125273
-112,0.01853,0.01853,2.0944270590431384,0.03954812917553294,0.01977406458776647
-111,0.16661,0.16661,0.9670682583625952,0.33601724371414265,0.16800862185707133
-110,0.46978,0.46978,-0.07727737151758829,0.9385811497675352,0.4692905748837676
-109,0.24778,0.24778,0.680591626949562,0.49793867064134123,0.24896933532067062
-108,0.01421,0.01421,2.239322353427584,0.027775413513987282,0.013887706756993641
-107,0.09304,0.09304,1.3228688907262616,0.18986030058444803,0.09493015029222401
-106,0.00124,0.00124,3.1050031174987565,0.0027214376815045235,0.0013607188407522618
-105,0.01596,0.01596,2.165032611097164,0.033337821916453646,0.016668910958226823
-104,0.01284,0.01284,2.2584159178340215,0.02691705447075654,0.01345852723537827
-103,0.01234,0.01234,2.3027105227235336,0.02398388019876565,0.011991940099382824
-102,6e-05,6e-05,4.152184679161724,8.645576566815073e-05,4.3227882834075367e-05
-101,0.08976,0.08976,1.3476531647689216,0.18184557197908152,0.09092278598954076
-100,0.05132,0.05132,1.6403914242389148,0.10489715890653854,0.05244857945326927
-99,0.06629,0.06629,1.511464374835545,0.13417446516946338,0.06708723258473169
-98,0.02423,0.02423,1.9985893136160604,0.04946954022027368,0.02473477011013684
-97,0.32436,0.32436,0.4529209690014934,0.6516434541242299,0.32582172706211493
-96,0.31993,0.31993,0.4559217871054786,0.6495821840637925,0.32479109203189627
-95,0.07944,0.07944,1.406142049322236,0.16315090368120758,0.08157545184060379
-94,0.2393,0.2393,-0.7069216882190655,0.48134959546940115,0.24067479773470057
-93,0.00453,0.00453,2.66962826764526,0.009405298598798151,0.0047026492993990756
-92,0.13784,0.13784,-1.091980158202813,0.2779055922929515,0.13895279614647574
-91,0.2356,0.2356,0.7111192804047797,0.4794155503188485,0.23970777515942426
-90,0.19471,0.19471,0.8513237277017374,0.3971440184442553,0.19857200922212764
-89,0.01903,0.01903,2.1265282944024486,0.037042413081094745,0.018521206540547373
-88,0.07464,0.07464,1.4286311137620147,0.15747152661901617,0.07873576330950809
-87,0.02444,0.02444,-2.0023296782182167,0.0485362973983675,0.02426814869918375
-86,0.23203,0.23203,0.725952700560651,0.4700736488201427,0.23503682441007134
-85,0.16239,0.16239,0.97411030410937,0.3328067959323123,0.16640339796615616
-84,0.04033,0.04033,1.7537117901735206,0.08411217243569653,0.04205608621784827
-83,0.43996,0.43996,0.14700490262330132,0.8834661117161724,0.4417330558580862
-82,0.15679,0.15679,1.0008774195237509,0.32060784535372233,0.16030392267686117
-81,0.00691,0.00691,2.5064921368532715,0.014295709524100704,0.007147854762050352
-80,0.40026,0.40026,0.25363902211352995,0.800516890443739,0.4002584452218695
-79,0.12202,0.12202,1.1545535942566352,0.2516212163183551,0.12581060815917755
-78,0.31097,0.31097,0.4897126491302868,0.6254986247285645,0.3127493123642823
-77,0.14791,0.14791,1.0366602882992844,0.30284800722269484,0.15142400361134742
-76,0.47702,0.47702,-0.05784303792103542,0.9540200649229436,0.4770100324614718
-75,0.37216,0.37216,-0.3267597077674943,0.7447773977645338,0.3723886988822669
-74,0.04024,0.04024,-1.7613146298098217,0.08177970955311202,0.04088985477655601
-73,0.13711,0.13711,-1.0898013673967397,0.2795251172651752,0.1397625586325876
-72,0.0554,0.0554,-1.59540471195508,0.11489208777693977,0.05744604388846988
-71,0.18785,0.18785,-0.8856512973810522,0.3785567388262313,0.18927836941311565
-70,0.29742,0.29742,0.5254806553034688,0.6007299400790082,0.3003649700395041
-69,0.43926,0.43926,-0.15087249122362237,0.8804085623576033,0.44020428117880167
-68,0.13196,0.13196,-1.114974223263259,0.26793527064043077,0.13396763532021538
-67,0.3553,0.3553,-0.3656714776859854,0.7154998769215624,0.3577499384607812
-66,0.27076,0.27076,-0.6003363677739585,0.549844142235583,0.2749220711177915
-65,0.02153,0.02153,-2.042141291425265,0.0443844081140888,0.0221922040570444
-64,0.17276,0.17276,-0.933219169229612,0.3532462011141212,0.1766231005570606
-63,0.02149,0.02149,-2.039896319102082,0.04466402208264155,0.022332011041320775
-62,0.25349,0.25349,-0.6630980180589184,0.5092666504557557,0.25463332522787785
-61,0.10264,0.10264,-1.2632844788402318,0.2102214574655155,0.10511072873275774
-60,0.16783,0.16783,-0.9647455420788639,0.33744334077131755,0.16872167038565877
-59,0.37959,0.37959,0.3011329797831113,0.7641675932481701,0.38208379662408504
-58,0.00029,0.00029,-3.5600651868953355,0.000590933349591983,0.0002954666747959915
-57,0.36166,0.36166,0.35565690714924225,0.7231770062473264,0.3615885031236632
-56,0.03622,0.03622,-1.8053558845031161,0.07461406308413712,0.03730703154206856
-55,0.00432,0.00432,-2.6741884341283915,0.008840494350808534,0.004420247175404267
-54,0.00338,0.00338,-2.816490956364772,0.005985486753985569,0.0029927433769927846
-53,0.26572,0.26572,-0.6210019676501148,0.5363440743134898,0.2681720371567449
-52,0.20789,0.20789,-0.8120360914704329,0.4192201834162469,0.20961009170812345
-51,0.02364,0.02364,-1.9995008836249062,0.048359293862204604,0.024179646931102302
-50,0.02135,0.02135,-2.056191536999848,0.04303264206957841,0.021516321034789204
-49,0.00595,0.00595,-2.607942918756498,0.010791793973749882,0.005395896986874941
-48,0.01845,0.01845,-2.1100335347759085,0.03797407070851715,0.018987035354258577
-47,0.20142,0.20142,-0.8303174306670227,0.4089446203494005,0.20447231017470024
-46,0.07905,0.07905,-1.407997211185378,0.162950383198505,0.0814751915992525
-45,0.0052,0.0052,-2.644952933187235,0.00971349167523841,0.004856745837619205
-44,0.20059,0.20059,-0.8390438806987995,0.404205998828994,0.202102999414497
