delta,p,corr_p,t,p_t (two),p_t (one)
0,0.27272,0.27272,-0.597622699200602,0.551470810160933,0.2757354050804665
1,0.20954,0.20954,-0.8067537321129358,0.4217783979975318,0.2108891989987659
2,0.27685,0.27685,-0.581559175990983,0.5621990495398572,0.2810995247699286
3,0.37115,0.37115,0.32674013158459403,0.7445615665165787,0.37228078325828934
4,0.06074,0.06074,-1.5528669650066769,0.12368631105141274,0.06184315552570637
5,0.36138,0.36138,-0.3504607797617383,0.7267459987613729,0.36337299938068646
6,0.32745,0.32745,-0.44224127328727925,0.6592931159133733,0.3296465579566866
7,0.44307,0.44307,-0.1414215515967668,0.8878297205636034,0.4439148602818017
8,0.09983,0.09983,-1.2763866569529836,0.20489522768494137,0.10244761384247068
9,0.14771,0.14771,-1.0359391694378386,0.30295706650281995,0.15147853325140997
10,0.29561,0.29561,-0.5265477796364213,0.5997590838403432,0.2998795419201716
11,0.10872,0.10872,-1.232186207173024,0.22122727399637698,0.11061363699818849
12,0.17015,0.17015,-0.944426689952812,0.3472955529638061,0.17364777648190305
13,0.30591,0.30591,-0.4982979968850367,0.6193921849671822,0.3096960924835911
14,0.0262,0.0262,-1.9660062873520023,0.05214370651136548,0.02607185325568274
15,0.08619,0.08619,-1.3661993709463411,0.17500439643012877,0.08750219821506439
16,0.1114,0.1114,-1.2216820762965186,0.22493411683760461,0.11246705841880231
17,0.07138,0.07138,-1.471736909857668,0.1443302376247806,0.0721651188123903
18,0.12366,0.12366,-1.1512748298335505,0.25244506763803076,0.12622253381901538
19,0.10983,0.10983,-1.2295201134092366,0.22192974001408522,0.11096487000704261
20,0.10497,0.10497,-1.2546564905976747,0.2125876241559069,0.10629381207795345
21,0.06397,0.06397,-1.5318137216747074,0.12885096845833652,0.06442548422916826
22,0.07835,0.07835,-1.4249354599026471,0.1573533288148323,0.07867666440741615
23,0.01998,0.01998,-2.0832689807207165,0.039834855257624514,0.019917427628812257
24,0.10332,0.10332,-1.2495036915256628,0.21445842604521775,0.10722921302260888
25,0.00108,0.00108,-3.1595642081622235,0.002102659053361002,0.001051329526680501
26,0.09159,0.09159,-1.3284047505761256,0.18713598604672738,0.09356799302336369
27,0.09405,0.09405,-1.3219308879565448,0.1892866662117294,0.0946433331058647
28,0.00365,0.00365,-2.7236182065759817,0.007657009325248311,0.0038285046626241556
29,0.00435,0.00435,-2.684158479823474,0.008553058554393875,0.0042765292771969375
30,0.04042,0.04042,-1.7584667581998927,0.08181038769385234,0.04090519384692617
